evaluation_id,timestamp,generation,gate_number,metric_name,metric_value,threshold,passed,n_samples,notes
1,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_naive_combined_zero_cost_vs_steps,0.5445181779991968,0.7,0,36,"controlled experiment (§21): 12 tasks x 3 init methods, optimizer/LR/batch fixed"
2,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_synflow_vs_steps,0.27029538398116937,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
3,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_snip_vs_steps,0.46726329344031337,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
4,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_grasp_vs_steps,-0.3798365157478436,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
5,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_jacob_cov_vs_steps,0.5133690105951372,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
6,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_effective_rank_vs_steps,0.4829029647714483,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
7,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_hessian_trace_vs_steps,0.4113822602760543,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
8,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_jacobian_condition_mean_vs_steps,0.43167182223075434,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
9,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_gradient_norm_vs_steps,0.606708360069098,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
10,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_gradient_norm_variance_vs_steps,0.6700573654073825,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
11,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_activation_mean_vs_steps,0.3934848786865797,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
12,2026-09-01 13:48:46,v1-trainability-engine,1,spearman_rho_activation_variance_vs_steps,0.3708234458826405,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
13,2026-09-01 13:50:25,v1-meta-predictor-full_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.59, winner=no"
14,2026-09-01 13:50:25,v1-meta-predictor-reduced_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.48333333333333334,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.30, winner=yes"
15,2026-09-01 13:50:25,v1-meta-predictor-log_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.56, winner=no"
16,2026-09-01 13:50:25,v1-meta-predictor-knn,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.54, winner=no"
17,2026-09-01 14:13:01,v1-search-engine-restricted,3,informed_restricted_near_optimal_rate,0.5,0.8,0,60,"cold=0.58, universal_restricted=0.45, reference=40 trials, restricted=15 trials"
18,2026-09-01 14:24:40,v1-meta-predictor-full_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.59, winner=no"
19,2026-09-01 14:24:40,v1-meta-predictor-reduced_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.48333333333333334,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.30, winner=yes"
20,2026-09-01 14:24:40,v1-meta-predictor-log_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.56, winner=no"
21,2026-09-01 14:24:40,v1-meta-predictor-knn,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.54, winner=no"
22,2026-09-01 14:24:40,v1-meta-predictor-zc_gradnormvar,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=nan, winner=no"
23,2026-09-01 14:24:40,v1-meta-predictor-zc_jacobcov,2,top1_accuracy_init_method_adapted_recall_at_10,0.4666666666666667,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=nan, winner=no"
24,2026-09-01 14:29:10,v1-lsuv-init,1,lsuv_wins_rate,0.08333333333333333,0.25,0,12,"means={'xavier': 142.41666666666666, 'he': 126.83333333333333, 'orthogonal': 123.16666666666667, 'lsuv': 159.41666666666666}, lsuv_beats_all_analytic_on_average=False"
25,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_naive_combined_zero_cost_vs_steps,0.5505698106229759,0.7,0,36,"controlled experiment (§21): 12 tasks x 3 init methods, optimizer/LR/batch fixed"
26,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_synflow_vs_steps,0.27029538398116937,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
27,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_snip_vs_steps,0.46726329344031337,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
28,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_grasp_vs_steps,-0.3798365157478436,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
29,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_jacob_cov_vs_steps,0.5133690105951372,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
30,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_effective_rank_vs_steps,0.4829029647714483,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
31,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_hessian_trace_vs_steps,0.4113822602760543,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
32,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_jacobian_condition_mean_vs_steps,0.43167182223075434,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
33,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_gradient_norm_vs_steps,0.606708360069098,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
34,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_gradient_norm_variance_vs_steps,0.6700573654073825,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
35,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_activation_mean_vs_steps,0.3934848786865797,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
36,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_activation_variance_vs_steps,0.3708234458826405,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
37,2026-09-01 14:32:11,v1-trainability-engine,1,spearman_rho_gradient_alignment_vs_steps,0.2306058304082671,0.7,0,36,"individual proxy, not the combined score used for the official gate verdict"
38,2026-09-01 14:37:07,v1-active-learning,0,active_sampling_win_rate,0.0,0.5,0,12,"mean_N_epsilon random=3941 active=14488 reduction_pct=-267.6 top_fraction=0.5 refresh_every=8 (docs.md §16 data-efficiency axis, source.md pillar 6, hard-example-mining heuristic)"
39,2026-09-01 21:59:52,v1-meta-predictor-full_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.3333333333333333,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.59, winner=no"
40,2026-09-01 21:59:52,v1-meta-predictor-full_rf,2,mean_regret_steps_to_threshold,40.03333333333333,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+22.39%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
41,2026-09-01 21:59:52,v1-meta-predictor-reduced_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.4666666666666667,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.32, winner=yes"
42,2026-09-01 21:59:52,v1-meta-predictor-reduced_rf,2,mean_regret_steps_to_threshold,18.233333333333334,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+25.12%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
43,2026-09-01 21:59:52,v1-meta-predictor-log_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.35,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.59, winner=no"
44,2026-09-01 21:59:52,v1-meta-predictor-log_rf,2,mean_regret_steps_to_threshold,37.88333333333333,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+23.81%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
45,2026-09-01 21:59:52,v1-meta-predictor-knn,2,top1_accuracy_init_method_adapted_recall_at_10,0.35,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.54, winner=no"
46,2026-09-01 21:59:52,v1-meta-predictor-knn,2,mean_regret_steps_to_threshold,43.233333333333334,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+30.56%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
47,2026-09-01 21:59:52,v1-meta-predictor-zc_gradnormvar,2,top1_accuracy_init_method_adapted_recall_at_10,0.38333333333333336,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=nan, winner=no"
48,2026-09-01 21:59:52,v1-meta-predictor-zc_gradnormvar,2,mean_regret_steps_to_threshold,41.083333333333336,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+22.65%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
49,2026-09-01 21:59:52,v1-meta-predictor-zc_jacobcov,2,top1_accuracy_init_method_adapted_recall_at_10,0.4666666666666667,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=nan, winner=no"
50,2026-09-01 21:59:52,v1-meta-predictor-zc_jacobcov,2,mean_regret_steps_to_threshold,14.566666666666666,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+18.31%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
51,2026-09-01 22:01:29,v1-meta-predictor-full_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.3333333333333333,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.59, winner=no"
52,2026-09-01 22:01:29,v1-meta-predictor-full_rf,2,mean_regret_steps_to_threshold,40.03333333333333,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+22.39%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
53,2026-09-01 22:01:29,v1-meta-predictor-reduced_rf,2,top1_accuracy_init_method_adapted_recall_at_10,0.4666666666666667,0.8,0,60,"universal_baseline=0.38, random_baseline=0.33, mean_confidence=0.32, winner=no"
54,2026-09-01 22:01:29,v1-meta-predictor-reduced_rf,2,mean_regret_steps_to_threshold,18.233333333333334,0.0,1,60,regret = steps(predicted_init) - steps(true_best_init); relative_regret=+25.12%; universal_baseline_regret=+22.2; random_baseline_regret=+43.2
